"Contract ","Sales Order","Created Date","Product: Product Name","Quantity Ordered","Customer ","Product: Metal: Metal Name","Product: Product Code"
"CON-56207","SO-31636","1/13/2023","Gold Bar 100g Any Brand","15.000000","ARA Gold LLC","Gold","GB100G"
"CON-56857","SO-31923","1/31/2023","Gold Bar 100g Any Brand","1.000000","Lake County Gold & Collectibles Dba Ohio Gold & Coin","Gold","GB100G"
"CON-60937","SO-34220","6/27/2023","Gold Bar 100g Any Brand","2.000000","K.B. Zaveree","Gold","GB100G"
"CON-61452","SO-34419","7/14/2023","Gold Bar 100g Any Brand","1.000000","Ross Jewelers","Gold","GB100G"
"CON-63185","SO-35180","9/11/2023","Gold Bar 100g Any Brand","1.000000","Dr. Gold Jewelry and Diamonds","Gold","GB100G"
"CON-63274","SO-35217","9/13/2023","Gold Bar 100g Any Brand","1.000000","Dr. Gold Jewelry and Diamonds","Gold","GB100G"
"CON-57369","SO-32209","2/24/2023","Gold Bar 100g Any Brand","1.000000","Dr. Gold Jewelry and Diamonds","Gold","GB100G"
"CON-57572","SO-32309","3/2/2023","Gold Bar 100g Any Brand","3.000000","Royal Gold & Silver Exchange","Gold","GB100G"
"CON-57646","SO-32344","3/7/2023","Gold Bar 100g Any Brand","1.000000","Rudy's Gold & Silver","Gold","GB100G"
"CON-56761","SO-31867","1/26/2023","Gold Bar 100g Any Brand","16.000000","Paras Gold Inc.","Gold","GB100G"
"CON-56226","SO-31643","1/13/2023","Gold Bar 100g Any Brand","1.000000","Tanmai Jewelers","Gold","GB100G"
"CON-56832","SO-31907","1/30/2023","Gold Bar 100g Any Brand","4.000000","Trust Jewelry and Repair, Inc.","Gold","GB100G"
"CON-56915","SO-31961","2/3/2023","Gold Bar 100g Any Brand","2.000000","K.B. Zaveree","Gold","GB100G"
"CON-56906","SO-31954","2/3/2023","Gold Bar 100g Any Brand","20.000000","Tanmai Jewelers","Gold","GB100G"
"CON-56015","SO-31543","1/5/2023","Gold Bar 100g Any Brand","6.000000","Trust Jewelry and Repair, Inc.","Gold","GB100G"
"CON-62630","SO-34936","8/21/2023","Gold Bar 100 g PAMP Fortuna","2.000000","Direct Silver Factory","Gold","GB100GPAMPF"
"CON-62816","SO-35023","8/27/2023","Gold Bar 100 g PAMP Fortuna","1.000000","Ross Jewelers","Gold","GB100GPAMPF"
"CON-57325","SO-32182","2/22/2023","Gold Bar 100 g PAMP Fortuna","1.000000","K.B. Zaveree","Gold","GB100GPAMPF"
"CON-62521","SO-34887","8/17/2023","Gold Bar 100 g PAMP Fortuna","1.000000","Trust Jewelry and Repair, Inc.","Gold","GB100GPAMPF"
